ambien, zolpidem, sleep aid (C-IV)
aldactone, spironolactone, diuretic/ antihypertensive
altace, ramipril, antihypertensive
amaryl, glimepiride, antidiabetic
concerta, methylphenidate, adhd (c-ii)
cozaar, losartan, antihypertensive
xyzal, levocetirizine, antihistamine
folvite, folic acid, mineral supplement
imdur, isosorbide mononitrate, anti-angina (chest pain)
lanoxin, digoxin, treats heart failure/ arrhythmia
lyrica, pregabalin, anticonvulsant/ anti nerve pain (c-v)
nasacort, triamcinolone, anti-inflammatory steroid
pristiq, desvenlafaxine, antidepressant
omnicef, cefdinir, antibiotic
levemir, insulin detemir, insulin - antidiabetic
xarelto, rivaroxaban, anticoagulant
restoril, temazepam, sleep aid (c-iv)
tamiflu, oseltamivir, antiviral (flu)
valtrex, valacyclovir, antiviral
trandate, labetalol, antihypertensive
zetia, ezetimibe, cholesterol lowering
abilify, aripiprazole, antipsychotic
adderall, amphetamine + dextroamphetamine, adhd (c-ii)
adipex, phentermine, appetite suppressant (c-iv)
aricept, donepezil, anti-alzheimers
benicar, olmesartan, antihypertensive (ARB)
cataflam, diclofenac, analgesic (nsaid)
zestoretic, lisinopril + hctz, antihypertensive diuretic combo
cleocin, clindamycin, antimicrobial
flagyl, metronidazole, antimicrobial
glucotrol, glipizide, antidiabetic
lamictal, lamotrigine, anticonvulsant
levoxyl, levothyroxine, thyroid hormone replacement therapy
lopid, gemfibrozil, cholesterol lowering
lotensin, benazepril, antihypertensive
ortho tri cyclen, ethinyl estradiol + norgestimate, birth control
reglan, metoclopramide, GI motility stimulant
risperdal, risperidone, antipsychotic
spiriva, tiotropium, reduces mucus secretion/ bronchodilator
verelan, verapamil, anti-arrhythmia
vistaril, hydroxyzine, antihistamine
antivert, meclizine, antivertigo
buspar, buspirone, antianxiety
cardizem, diltiazem, antihypertensive
cardura, doxazosin, reduces enlarged prostate
depakote, divalproex, anticonvulsant
detrol, tolterodine, urinary antispasmodic
furadantin, nitrofurantoin, antibiotic
hyzaar, losartan + HCTZ, antihypertensive diuretic combo
inderal, propanolol, antihypertensive
januvia, sitagliptin, antidiabetic
mirapex, pramipexole, anti-tremor (Parkinsons Disease)
eliquis, apixaban, anticoagulant
remeron, mirtazapine, antidepressant
robitussin, guaifenesin, anti-mucus (expectorant)
suboxone, buprenorphine, Opiod Recovery (C-III)
topamax, topiramate, anticonvulsant
vyvanse, lisdexamfetamine, adhd (c-ii)
wellbutrin, buproprion, antidepressant
xalatan, latanoprost, antiglaucoma
zovirax, acyclovir, antiviral
accupril, quinapril, antihypertensive
aciphex, rabeprazole, antacid (ppi)
avapro, irbesartan, antihypertensive
bactroban, mupirocin, topical antibacterial
boniva, ibandronate, bone strengthener
combivent, albuterol + ipratopium, bronchodilator/ anti-mucus
duragesic, fentanyl transdermal patch, analgesic (c-ii)
myrbetric, mirabegron, overactive bladder
fioricet, butalbital + apap + caffeine, antimigraine
glycolax, polyethylene glycol, laxative
hytrin, terazosin, antihypertensive
imitrex, sumatriptan, antimigraine
tenex, guanfacine, antihypertensive
tegratol, carbamazepine, anticonvulsant
tapazole, methimazole, anti thyroid hormone
pepcid, famotidine, antacid
procardia, nifedipine, anti-arrhythmia
proscar, finasteride, reduces enlarged prostate
rheumatrex, methotrexate, antirheumatic
tessalon perles, benzonatate, cough suppressant
actonel, risedronate, bone strengthener
avalide, irbesartan + hctz, antihypertensive diuretic combo
bentyl, dicyclomine, antispasmodic (intestinal)
biaxin, clarithromycin, antibiotic
chantix, varenicline, smoking cessation
evista, raloxifene, estrogen modulator
humalog, insulin lispro, insulin (short acting)
tresiba, insulin degludec, insulin (long acting)
namenda, memantine, anti-alzheimers
nitrostat, nitroglycerine, anti-angina
novolog, insulin aspart, insulin
trulicity, dulaglutide, antidiabetic (increases insulin secretion from pancreas)
relafen, nabumetone, analgesic (nsaid)
requip, ropinirole, anti-Parkinsons
robaxin, methocarbamol, muscle relaxer
temovate, clobetasol, anti-inflammatory steroid
zanaflex, tizanidine, muscle relaxer
zebeta, bisoprolol, antihypertensive
zofran, odansetron, anti-nausea
zyprexa, olanzapine, antipsychotic
apresoline, hydralazine, antihypertensive
avelox, moxifloxacin, antibiotic
avodart, dutasteride, reduces enlarged prostate
dyazide, triamterene + hctz, antihypertensive (2 diuretics)
cogentin, benztropine, anti-Parkinsons
humira, adalimumab, immunosuppressive (arthritis + cohns + ulcerative colitis)
dilantin, phenytoin, anticonvulsant
ditropan, oxybutynin, overactive bladder
keppra, levetiracetam, anticonvulsant
victoza, liraglutide, antidiabetic (increases insulin secretion from pancreas)
lioresal, baclofen, muscle relaxer
trileptal, oxcarbazepine, anticonvulsant
nizoral, ketoconazole, antifungal
pamelor, nortryptyline, antidepressant
plaquenil, hydroxychloroquine, arthritis/ lupus
protonix, pantoprazole, antacid (ppi)
pyridium, phenazopyridine, analgesic (urinary)
strattera, atomoxetine, adhd
janumet, metformin + sitagliptin, antidiabetic combo
jardiance, empagliflozin, antidiabetic
